day,value
2001-10-01,13.65
2001-10-02,13.7
2001-10-03,13.8
2001-10-04,14.0
2001-10-05,14.0
2001-10-08,14.0
2001-10-09,14.0
2001-10-10,14.0
2001-10-11,14.0
2001-10-12,14.05
2001-10-16,13.95
2001-10-17,13.95
2001-10-18,13.95
2001-10-19,13.95
2001-10-22,13.95
2001-10-23,13.95
2001-10-24,13.95
2001-10-25,13.95
2001-10-26,13.95
2001-10-29,14.05
2001-10-30,14.05
2001-10-31,14.05
2001-11-01,14.05
2001-11-02,14.05
2001-11-06,14.05
2001-11-07,14.05
2001-11-08,14.05
2001-11-09,14.0
2001-11-12,14.0
2001-11-13,14.0
2001-11-14,14.0
2001-11-15,14.0
2001-11-16,14.0
2001-11-19,14.0
2001-11-20,14.0
2001-11-21,14.0
2001-11-22,14.0
2001-11-23,14.0
2001-11-26,13.95
2001-11-27,13.899999999999999
2001-11-28,13.899999999999999
2001-11-29,13.899999999999999
2001-11-30,13.899999999999999
2001-12-03,13.899999999999999
2001-12-04,13.899999999999999
2001-12-05,13.899999999999999
2001-12-06,13.899999999999999
2001-12-07,13.899999999999999
2001-12-10,14.0
2001-12-11,14.0
2001-12-12,14.0
2001-12-13,14.0
2001-12-14,14.0
2001-12-17,13.95
2001-12-18,13.95
2001-12-19,13.95
2001-12-20,14.149999999999999
2001-12-21,14.45
2001-12-24,14.45
2001-12-26,14.175
2001-12-27,14.325
2001-12-28,14.5
2001-12-31,14.6
2002-01-02,14.6
2002-01-03,14.75
2002-01-04,14.85
2002-01-07,14.675
2002-01-08,14.350000000000001
2002-01-09,14.3
2002-01-10,14.3
2002-01-11,14.3
2002-01-14,14.3
2002-01-15,14.3
2002-01-16,14.25
2002-01-17,14.25
2002-01-18,14.25
2002-01-21,14.5
2002-01-22,14.7
2002-01-23,14.5
2002-01-24,14.5
2002-01-25,14.5
2002-01-28,14.5
2002-01-29,14.5
2002-01-30,14.5
2002-01-31,14.5
2002-02-01,14.5
2002-02-04,14.5
2002-02-05,14.5
2002-02-06,14.5
2002-02-07,14.5
2002-02-08,14.5
2002-02-13,14.5
2002-02-14,14.5
2002-02-15,14.5
2002-02-18,14.5
2002-02-19,14.7
2002-02-20,14.95
2002-02-21,15.05
2002-02-22,15.05
2002-02-25,14.9
2002-02-26,14.9
2002-02-27,14.9
2002-02-28,14.9
2002-03-01,14.9
2002-03-04,15.1
2002-03-05,15.1
2002-03-06,15.1
2002-03-07,15.1
2002-03-08,15.1
2002-03-11,15.1
2002-03-12,15.25
2002-03-13,15.25
2002-03-14,15.4
2002-03-15,15.4
2002-03-18,15.25
2002-03-19,15.25
2002-03-20,15.25
2002-03-21,15.25
2002-03-22,15.149999999999999
2002-04-01,15.600000000000001
2002-04-02,15.600000000000001
2002-04-03,15.600000000000001
2002-04-04,15.600000000000001
2002-04-05,15.7
2002-04-08,16.05
2002-04-09,16.05
2002-04-10,16.1
2002-04-11,16.1
2002-04-12,16.2
2002-04-15,16.35
2002-04-16,16.45
2002-04-17,16.45
2002-04-18,16.6
2002-04-19,16.7
2002-04-23,16.6
2002-04-24,16.6
2002-04-25,16.6
2002-04-26,16.8
2002-04-29,16.6
2002-04-30,16.45
2002-05-02,16.45
2002-05-03,16.7
2002-05-06,16.85
2002-05-07,16.9
2002-05-08,16.8
2002-05-09,16.8
